{1005.52,310.04,28.83,52.89}
{950.05,607.46,31.09,35.89}
{1026.09,304.5,15.57,78.85}
{1009.37,1033.98,34.62,94.38}
{970.84,1121.1,27.89,49.78}
{993.4,972.34,25.97,50.24}
{1004.13,706.32,26.59,25.14}
{966.71,870.72,25.46,38.98}
{979.11,214.99,31.88,71.71}
{955.32,1055.7,31.32,10.93}
{1037.89,125.12,16.45,99.1}
{1022.99,665.97,20.88,86.23}
{989.09,197.0,-8.14,11.29}
{959.21,876.63,34.26,96.04}
{1039.6,542.46,16.28,54.84}
{952.84,276.14,-4.34,82.9}
{1030.63,794.71,1.97,81.43}
{952.28,225.64,22.16,44.94}
{986.1,664.01,27.84,74.58}
{1031.1,601.31,21.74,48.31}
{957.43,1068.57,15.27,56.11}
{993.32,695.79,33.07,50.06}
{970.71,837.85,-2.64,18.96}
{995.14,715.89,0.01,81.7}
{995.68,227.09,7.52,46.35}
{976.79,777.46,32.48,21.12}
{977.45,1067.89,21.39,19.39}
{1037.93,436.3,26.49,62.08}
{1032.61,885.25,0.87,29.77}
{991.11,532.54,8.75,74.15}
{954.81,227.34,5.9,93.99}
{1025.72,1177.45,12.16,89.45}
{1028.11,1154.26,23.63,23.32}
{989.7,367.36,-3.37,78.25}
{1047.38,1153.53,11.73,92.22}
{955.61,589.78,32.65,38.49}
{1040.3,656.38,35.45,29.95}
{1021.29,1080.68,-8.05,37.49}
{952.62,336.62,16.17,93.65}
{986.6,340.89,13.3,15.12}
{980.64,298.35,27.42,52.4}
{972.08,112.02,-2.07,23.15}
{973.48,802.94,11.21,22.61}
{981.28,855.42,23.67,92.96}
{972.61,1189.07,38.48,49.6}
{1047.22,662.95,7.31,85.9}
{965.88,354.48,-4.88,81.11}
{951.49,193.84,1.75,83.53}
{952.75,742.61,-1.44,64.36}
{958.24,396.47,25.29,95.87}
{980.32,551.88,28.67,63.63}
{972.81,1107.74,30.68,92.78}
{976.81,741.08,19.38,97.09}
{963.71,1089.31,38.59,68.91}
{1012.9,1091.15,19.2,71.77}
{977.66,373.38,20.69,14.68}
{952.92,876.66,37.26,96.46}
{967.32,240.26,32.53,63.34}
{992.42,109.87,14.86,31.1}
{1046.47,396.63,19.27,35.86}
{1026.3,880.42,24.68,96.53}
{1020.24,845.74,-9.66,17.18}
{995.31,565.85,35.51,81.07}
